trial,s1,s2,s3,i1,i2,i3,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruct.started,ready.started,instrText.started,instruct.stopped,trial.started,resp.started,image1.started,image2.started,image3.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,session,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.008083581924438477,0.011724472045898438,0.011724472045898438,1.3715965747833252,,,,,,,,,,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
0,30,20,5,imgs/s_30_r_1.png,imgs/s_20_r_1.png,imgs/s_5_r_1.png,0,0,0,right,141.3732099533081,None,0,0,0,0,1.3855865001678467,,,,,,1.3828668594360352,1.884706735610962,1.884706735610962,1.884706735610962,1.884706735610962,143.27070927619934,right,141.3732099533081,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
1,10,25,50,imgs/s_10_r_1.png,imgs/s_25_r_1.png,imgs/s_50_r_1.png,1,1,0,left,10.00751256942749,None,0,1,1,1,143.28622484207153,,,,,,143.2815535068512,143.7865605354309,143.7865605354309,143.7865605354309,143.7865605354309,153.79643058776855,left,10.00751256942749,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
2,15,20,40,imgs/s_15_r_1.png,imgs/s_20_r_1.png,imgs/s_40_r_1.png,2,2,0,left,14.242275476455688,None,0,2,2,2,153.81181573867798,,,,,,153.80661630630493,154.31227850914001,154.31227850914001,154.31227850914001,154.31227850914001,168.5597071647644,left,14.242275476455688,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
3,15,25,50,imgs/s_15_r_1.png,imgs/s_25_r_1.png,imgs/s_50_r_1.png,3,3,0,left,5.439824819564819,None,0,3,3,3,168.5737862586975,,,,,,168.57076144218445,169.07450699806213,169.07450699806213,169.07450699806213,169.07450699806213,174.53172159194946,left,5.439824819564819,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
4,30,50,60,imgs/s_30_r_1.png,imgs/s_50_r_1.png,imgs/s_60_r_1.png,4,4,0,left,10.828389406204224,None,0,4,4,4,174.54621052742004,,,,,,174.54316997528076,175.04618549346924,175.04618549346924,175.04618549346924,175.04618549346924,185.89070963859558,left,10.828389406204224,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
5,20,15,5,imgs/s_20_r_1.png,imgs/s_15_r_1.png,imgs/s_5_r_1.png,5,5,0,left,3.845458984375,None,0,5,5,5,185.9050600528717,,,,,,185.9010260105133,186.40552735328674,186.40552735328674,186.40552735328674,186.40552735328674,190.2614140510559,left,3.845458984375,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
6,30,40,50,imgs/s_30_r_1.png,imgs/s_40_r_1.png,imgs/s_50_r_1.png,6,6,0,left,5.050694704055786,None,0,6,6,6,190.2759563922882,,,,,,190.27275347709656,190.77615308761597,190.77615308761597,190.77615308761597,190.77615308761597,195.83227849006653,left,5.050694704055786,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
7,20,25,60,imgs/s_20_r_1.png,imgs/s_25_r_1.png,imgs/s_60_r_1.png,7,7,0,left,3.575259208679199,None,0,7,7,7,195.84658432006836,,,,,,195.84374904632568,196.34741163253784,196.34741163253784,196.34741163253784,196.34741163253784,199.93560147285461,left,3.575259208679199,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
8,50,15,5,imgs/s_50_r_1.png,imgs/s_15_r_1.png,imgs/s_5_r_1.png,8,8,0,right,4.400484561920166,None,0,8,8,8,199.9503231048584,,,,,,199.94623231887817,200.4507122039795,200.4507122039795,200.4507122039795,200.4507122039795,204.85714030265808,right,4.400484561920166,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
9,40,25,15,imgs/s_40_r_1.png,imgs/s_25_r_1.png,imgs/s_15_r_1.png,9,9,0,left,5.247594833374023,None,0,9,9,9,204.87222933769226,,,,,,204.8692147731781,205.37138867378235,205.37138867378235,205.37138867378235,205.37138867378235,210.62777423858643,left,5.247594833374023,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
10,60,50,40,imgs/s_60_r_1.png,imgs/s_50_r_1.png,imgs/s_40_r_1.png,10,10,0,right,4.652635097503662,None,0,10,10,10,210.64238929748535,,,,,,210.6388599872589,211.1429901123047,211.1429901123047,211.1429901123047,211.1429901123047,215.79928874969482,right,4.652635097503662,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
11,10,30,60,imgs/s_10_r_1.png,imgs/s_30_r_1.png,imgs/s_60_r_1.png,11,11,0,left,3.5851452350616455,None,0,11,11,11,215.81414008140564,,,,,,215.81090092658997,216.31417512893677,216.31417512893677,216.31417512893677,216.31417512893677,219.9029402732849,left,3.5851452350616455,None,1,testtest,2025-08-08_18h17.25.341,mlds_experiment_numerosity_triads,2024.2.5,59.92051178751332,2025-08-08 18h17.30.218231 +0200,
12,10,30,40,imgs/s_10_r_1.png,imgs/s_30_r_1.png,imgs/s_40_r_1.png,12,12,0,,,,0,12,12,12,219.91733288764954,,,,,,219.91403341293335,220.41745328903198,220.41745328903198,220.41745328903198,220.41745328903198,,,,,,,,,,,,
